ANALS_TRGET_YEAR,ANALS_TRGET_MT,AREA_NM,AGE_FLAG_NM,SEXDSTN_FLAG_NM,LON_CO,LON_MBER_CO,READ_QY
2020,01,울산광역시,영유아(0-5),남자,2362,341,6.927
2020,01,울산광역시,영유아(0-5),여자,3972,508,7.819
2020,01,울산광역시,유아(6-7),남자,2904,355,8.18
2020,01,울산광역시,유아(6-7),여자,4900,611,8.02
2020,01,울산광역시,초등(8-13),남자,15617,1925,8.113
2020,01,울산광역시,초등(8-13),여자,21490,2800,7.675
2020,01,울산광역시,청소년(14-19),남자,4976,1150,4.327
2020,01,울산광역시,청소년(14-19),여자,7746,1775,4.364
2020,01,울산광역시,20대,남자,3312,855,3.874
2020,01,울산광역시,20대,여자,6102,1550,3.937
2020,01,울산광역시,30대,남자,9713,1516,6.407
2020,01,울산광역시,30대,여자,29869,4519,6.61
2020,01,울산광역시,40대,남자,20022,2923,6.85
2020,01,울산광역시,40대,여자,40285,6138,6.563
